plate_barcode,culture_plate,library,block,clonality
RP05,SUMO_A_P1,sumo_ab,A_Block_1,unspecified
RP05,SUMO_A_P2,sumo_ab,A_Block_2,unspecified
RP05,SUMO_A_P3,sumo_ab,A_Block_3,unspecified
RP05,SUMO_A_P4,sumo_ab,A_Block_4,unspecified
RP05,SUMO_A_P5,sumo_ab,A_Block_5,unspecified
RP05,SUMO_A_P6,sumo_ab,A_Block_6,unspecified
RP05,SUMO_A_P6,sumo_ab,A_Block_8,unspecified
RP05,SUMO_A_P6,sumo_ab,A_Block_18,unspecified
RP05,SUMO_A_P7,sumo_ab,A_Block_9,unspecified
RP05,SUMO_A_P7,sumo_ab,A_Block_10,unspecified
RP05,SUMO_A_P8,sumo_ab,A_Block_11,unspecified
RP05,SUMO_A_P8,sumo_ab,A_Block_12,unspecified
RP05,SUMO_A_P9,sumo_ab,A_Block_13,unspecified
RP05,SUMO_A_P9,sumo_ab,A_Block_14,unspecified
RP05,SUMO_A_P10,sumo_ab,A_Block_15,unspecified
RP05,SUMO_A_P10,sumo_ab,A_Block_16,unspecified
RP05,SUMO_A_P11,sumo_ab,A_Block_17,unspecified
RP05,SUMO_A_P11,sumo_ab,A_Block_7,unspecified
RP05,SUMO_B_P1,sumo_ab,B_Block_1,unspecified
RP05,SUMO_B_P2,sumo_ab,B_Block_2,unspecified
RP05,SUMO_B_P3,sumo_ab,B_Block_3,unspecified
RP05,SUMO_B_P4,sumo_ab,B_Block_4,unspecified
RP05,SUMO_B_P5,sumo_ab,B_Block_5,unspecified
RP05,SUMO_B_P6,sumo_ab,B_Block_6,unspecified
RP05,SUMO_B_P6,sumo_ab,B_Block_8,unspecified
RP05,SUMO_B_P6,sumo_ab,B_Block_18,unspecified
RP05,SUMO_B_P7,sumo_ab,B_Block_9,unspecified
RP05,SUMO_B_P7,sumo_ab,B_Block_10,unspecified
RP05,SUMO_B_P8,sumo_ab,B_Block_11,unspecified
RP05,SUMO_B_P8,sumo_ab,B_Block_12,unspecified
RP05,SUMO_B_P9,sumo_ab,B_Block_13,unspecified
RP05,SUMO_B_P9,sumo_ab,B_Block_14,unspecified
RP05,SUMO_B_P10,sumo_ab,B_Block_15,unspecified
RP05,SUMO_B_P10,sumo_ab,B_Block_16,unspecified
RP05,SUMO_B_P11,sumo_ab,B_Block_17,unspecified
RP05,SUMO_B_P11,sumo_ab,B_Block_7,unspecified
RP08,LAB_P1,lab,Block_1,unspecified
RP08,LAB_P1,lab,Block_9,unspecified
RP08,LAB_P2,lab,Block_2,unspecified
RP08,LAB_P3,lab,Block_3,unspecified
RP08,LAB_P4,lab,Block_4,unspecified
RP08,LAB_P5,lab,Block_5,unspecified
RP08,LAB_P6,lab,Block_6,unspecified
RP08,LAB_P7,lab,Block_7,unspecified
RP08,LAB_P8,lab,Block_8,unspecified
RP08,LAB_P9,lab,Block_10,unspecified
RP08,LAB_P9,lab,Block_11,unspecified
RP08,LAB_P10,lab,Block_12,unspecified
RP08,LAB_P10,lab,Block_13,unspecified
RP08,LAB_P11,lab,Block_14,unspecified
RP08,LAB_P11,lab,Block_15,unspecified
